"State","Product","Sub.product","count"
"Alaska","Bank account or service","(CD) Certificate of deposit",7
"Alaska","Debt collection","Auto",4
"Alaska","Bank account or service","Cashing a check without an account",1
"Alaska","Bank account or service","Checking account",45
"Alaska","Mortgage","Conventional adjustable mortgage (ARM)",10
"Alaska","Mortgage","Conventional fixed mortgage",49
"Alaska","Credit Card","Credit Card",95
"Alaska","Debt collection","Credit card",37
"Alaska","Credit reporting","Credit reporting",114
"Alaska","Money transfers","Domestic (US) money transfer",2
"Alaska","Mortgage","FHA mortgage",21
"Alaska","Debt collection","Federal student loan",1
"Alaska","Prepaid card","General purpose card",1
"Alaska","Prepaid card","Government benefit payment card",1
"Alaska","Mortgage","Home equity loan or line of credit",2
"Alaska","Debt collection","I do not know",31
"Alaska","Consumer Loan","Installment loan",4
"Alaska","Money transfers","International money transfer",5
"Alaska","Debt collection","Medical",11
"Alaska","Prepaid card","Mobile wallet",1
"Alaska","Debt collection","Mortgage",3
"Alaska","Student loan","Non-federal student loan",26
"Alaska","Debt collection","Other (i.e. phone, health club, etc.)",35
"Alaska","Bank account or service","Other bank product/service",14
"Alaska","Mortgage","Other mortgage",47
"Alaska","Consumer Loan","Pawn loan",1
"Alaska","Debt collection","Payday loan",7
"Alaska","Consumer Loan","Personal line of credit",3
"Alaska","Bank account or service","Savings account",3
"Alaska","Mortgage","VA mortgage",15
"Alaska","Consumer Loan","Vehicle lease",1
"Alaska","Consumer Loan","Vehicle loan",8
"Alabama","Bank account or service","(CD) Certificate of deposit",21
"Alabama","Debt collection","Auto",28
"Alabama","Bank account or service","Cashing a check without an account",4
"Alabama","Other financial service","Check cashing",4
"Alabama","Bank account or service","Checking account",413
"Alabama","Mortgage","Conventional adjustable mortgage (ARM)",75
"Alabama","Mortgage","Conventional fixed mortgage",488
"Alabama","Credit Card","Credit Card",518
"Alabama","Debt collection","Credit card",214
"Alabama","Other financial service","Credit repair",1
"Alabama","Credit reporting","Credit reporting",1019
"Alabama","Other financial service","Debt settlement",1
"Alabama","Money transfers","Domestic (US) money transfer",15
"Alabama","Mortgage","FHA mortgage",215
"Alabama","Debt collection","Federal student loan",31
"Alabama","Prepaid card","General purpose card",12
"Alabama","Prepaid card","Gift or merchant card",1
"Alabama","Prepaid card","Government benefit payment card",4
"Alabama","Mortgage","Home equity loan or line of credit",52
"Alabama","Debt collection","I do not know",273
"Alabama","Prepaid card","ID prepaid card",1
"Alabama","Consumer Loan","Installment loan",113
"Alabama","Money transfers","International money transfer",9
"Alabama","Debt collection","Medical",135
"Alabama","Other financial service","Money order",1
"Alabama","Debt collection","Mortgage",40
"Alabama","Student loan","Non-federal student loan",174
"Alabama","Debt collection","Other (i.e. phone, health club, etc.)",343
"Alabama","Bank account or service","Other bank product/service",99
"Alabama","Mortgage","Other mortgage",449
"Alabama","Prepaid card","Other special purpose card",3
"Alabama","Consumer Loan","Pawn loan",1
"Alabama","Debt collection","Payday loan",204
"Alabama","Prepaid card","Payroll card",2
"Alabama","Consumer Loan","Personal line of credit",24
"Alabama","Mortgage","Reverse mortgage",10
"Alabama","Bank account or service","Savings account",25
"Alabama","Mortgage","Second mortgage",5
"Alabama","Consumer Loan","Title loan",5
"Alabama","Prepaid card","Transit card",1
"Alabama","Other financial service","Traveler/Cashier Checks",1
"Alabama","Mortgage","VA mortgage",38
"Alabama","Consumer Loan","Vehicle lease",8
"Alabama","Consumer Loan","Vehicle loan",186
"Arkansas","Bank account or service","(CD) Certificate of deposit",19
"Arkansas","Debt collection","Auto",9
"Arkansas","Bank account or service","Cashing a check without an account",4
"Arkansas","Bank account or service","Checking account",182
"Arkansas","Mortgage","Conventional adjustable mortgage (ARM)",45
"Arkansas","Mortgage","Conventional fixed mortgage",178
"Arkansas","Credit Card","Credit Card",267
"Arkansas","Debt collection","Credit card",102
"Arkansas","Credit reporting","Credit reporting",432
"Arkansas","Other financial service","Debt settlement",1
"Arkansas","Money transfers","Domestic (US) money transfer",7
"Arkansas","Mortgage","FHA mortgage",88
"Arkansas","Debt collection","Federal student loan",7
"Arkansas","Prepaid card","General purpose card",5
"Arkansas","Prepaid card","Government benefit payment card",2
"Arkansas","Mortgage","Home equity loan or line of credit",17
"Arkansas","Debt collection","I do not know",77
"Arkansas","Consumer Loan","Installment loan",25
"Arkansas","Money transfers","International money transfer",7
"Arkansas","Debt collection","Medical",64
"Arkansas","Prepaid card","Mobile wallet",2
"Arkansas","Debt collection","Mortgage",9
"Arkansas","Student loan","Non-federal student loan",84
"Arkansas","Debt collection","Other (i.e. phone, health club, etc.)",157
"Arkansas","Bank account or service","Other bank product/service",41
"Arkansas","Mortgage","Other mortgage",227
"Arkansas","Debt collection","Payday loan",34
"Arkansas","Prepaid card","Payroll card",3
"Arkansas","Consumer Loan","Personal line of credit",7
"Arkansas","Mortgage","Reverse mortgage",6
"Arkansas","Bank account or service","Savings account",9
"Arkansas","Mortgage","Second mortgage",1
"Arkansas","Mortgage","VA mortgage",24
"Arkansas","Consumer Loan","Vehicle lease",1
"Arkansas","Consumer Loan","Vehicle loan",85
"Arizona","Bank account or service","(CD) Certificate of deposit",83
"Arizona","Debt collection","Auto",68
"Arizona","Bank account or service","Cashing a check without an account",7
"Arizona","Other financial service","Check cashing",4
"Arizona","Bank account or service","Checking account",886
"Arizona","Mortgage","Conventional adjustable mortgage (ARM)",404
"Arizona","Mortgage","Conventional fixed mortgage",1303
"Arizona","Credit Card","Credit Card",1388
"Arizona","Debt collection","Credit card",481
"Arizona","Credit reporting","Credit reporting",1633
"Arizona","Other financial service","Debt settlement",2
"Arizona","Money transfers","Domestic (US) money transfer",30
"Arizona","Mortgage","FHA mortgage",415
"Arizona","Debt collection","Federal student loan",45
"Arizona","Prepaid card","General purpose card",20
"Arizona","Prepaid card","Gift or merchant card",4
"Arizona","Prepaid card","Government benefit payment card",6
